#{"t_start": 1754198174.1513555, "env_id": "None"}
r,l,t
68.37594,259,136.901706
77.72029,268,137.053775
62.307175,250,137.179767
80.06563,299,137.326786
92.355286,299,137.488578
78.07178,299,137.645904
86.99086,299,138.621927
82.89931,299,138.783145
109.24505,299,138.936196
111.550316,299,139.088267
71.24932,261,139.217779
103.15583,299,139.379461
90.6559,299,139.548499
59.730865,236,140.499191
81.09258,299,140.653922
89.6013,299,140.815604
106.65047,299,140.966753
88.62585,299,141.12359
52.493618,248,141.250986
82.363335,299,141.412007
87.16926,299,142.472883
62.78167,241,142.603278
83.58556,299,142.757627
56.48138,279,143.963831
99.87441,299,144.11116
95.636856,299,144.26713
70.18671,299,144.419792
67.36522,273,145.302829
73.2325,299,145.472624
79.38936,299,145.659179
75.073944,299,145.805026
64.14092,288,145.961366
47.71045,176,146.053715
66.50839,299,146.197468
35.673477,143,146.267589
49.923183,148,147.23407
50.1873,208,147.341412
59.714348,214,147.454908
79.5424,299,147.612595
81.25789,299,147.772064
95.419266,299,147.922258
95.394554,299,148.079986
89.039894,299,148.23353
30.49015,108,149.16591
97.29413,299,149.32913
85.25173,299,149.487334
69.66526,297,149.646632
63.199364,225,149.755093
45.931522,153,149.841079
36.914413,164,149.92886
110.582214,299,150.084332
104.91842,299,151.202085
75.7745,299,151.359711
100.80069,299,151.539262
50.810753,299,151.687809
38.64717,182,151.785119
66.11135,299,151.941079
79.70494,299,152.097481
61.073402,271,152.226125
110.7803,299,153.269036
55.545322,217,153.384691
114.233604,299,154.593279
74.126,299,154.741944
32.10208,134,154.814692
110.88712,299,154.974429
105.24479,299,155.135344
100.75632,299,156.054803
87.85464,299,156.207303
56.19416,247,156.341478
71.625626,263,156.47691
79.96783,290,156.619129
40.49748,162,156.699974
80.3256,294,156.844392
72.83252,274,156.984426
81.758736,299,158.022292
101.56934,299,158.17866
87.01561,299,158.330242
60.853283,251,158.459957
77.71974,299,158.61573
40.54299,149,158.693401
40.88635,146,158.770175
48.03521,166,158.854556
113.86562,299,159.002252
83.65603,299,160.000377
76.39303,299,160.157074
77.616585,299,160.309595
74.889725,299,160.479893
64.27678,275,160.620165
68.21595,284,160.772735
90.50045,299,160.922859
89.54853,299,161.953371
47.952232,193,162.054644
91.76638,299,162.227599
69.361786,299,162.385669
100.285576,299,162.559465
86.847115,299,162.724533
111.76337,299,162.886516
62.719795,258,164.007052
117.0905,299,164.182381
119.35219,299,165.620726
81.25123,299,165.780788
49.887737,211,165.897779
83.1225,298,166.058795
93.10493,299,166.206279
72.6277,281,167.145971
99.58941,299,167.3018
60.115013,232,167.417134
90.20767,299,167.56821
88.0569,299,167.722985
68.8977,243,167.843653
91.93976,299,167.991004
56.137726,299,169.138778
55.847694,299,169.295889
92.154305,299,169.449234
49.42035,175,169.538106
51.335667,233,169.654348
59.713882,255,169.78866
94.45717,299,169.946381
97.2974,299,170.100859
81.60384,299,171.073005
76.94919,248,171.22051
76.5485,299,171.367871
80.526505,299,171.516519
70.61917,281,171.660143
36.41933,146,171.745809
63.781242,243,171.875028
78.521416,299,172.02927
72.836266,279,173.073929
33.63484,152,173.163613
55.79842,188,173.282505
63.79071,252,173.404992
97.26579,299,173.570395
65.156105,212,173.679158
86.6645,299,173.860054
71.313644,299,174.031895
75.13081,299,175.077445
40.341415,172,176.658263
106.78905,299,176.805131
45.297802,212,176.920091
71.83095,257,177.054424
101.18441,299,177.217452
92.653854,299,177.375816
104.84029,299,177.527263
77.800766,299,178.498304
104.85342,299,178.648314
43.59793,178,178.748952
57.422813,223,178.865644
48.46033,248,178.992944
81.75893,299,179.151238
87.113914,299,179.296216
54.0155,223,179.415673
88.57947,299,180.41002
53.67673,299,180.590532
73.51189,299,180.746836
83.24564,282,180.893951
77.27457,299,181.045174
60.65354,274,181.191549
61.146957,234,181.311059
91.8697,299,182.495418
73.601906,299,182.653258
86.109436,299,182.812325
84.270424,299,183.057501
93.548615,299,183.331602
42.645588,219,183.457697
73.595345,299,183.636036
41.800385,175,184.64204
81.62868,299,184.805797
84.913216,273,184.939981
95.44002,299,185.092308
84.60763,299,185.245573
100.79415,299,185.445837
89.08675,299,185.647359
73.57371,299,188.180053
76.03012,299,188.340473
89.0249,299,188.49501
114.750015,299,188.681383
74.739586,244,188.8524
90.867096,299,189.067899
68.86804,299,189.237401
74.984055,299,190.552133
86.61736,299,190.811335
90.021324,299,191.066784
30.670341,122,191.155832
43.168533,125,191.218374
61.173813,230,191.39369
78.966225,257,191.547826
90.16916,299,191.70501
80.65302,299,191.88811
84.238785,299,193.070857
71.98009,299,193.253465
74.80735,299,193.404868
58.116318,219,193.519704
65.24391,299,193.668869
88.787476,299,193.816601
72.17894,299,193.975374
90.27741,299,195.086757
110.96461,299,195.253686
56.364704,273,195.398395
117.79407,299,195.554125
49.922276,193,195.6559
94.31901,299,195.80827
52.85867,184,195.906888
79.41838,251,196.036748
77.585434,299,197.048502
80.529686,277,197.199941
96.06425,299,197.368913
87.49264,299,197.521841
88.90163,299,197.685262
101.543976,299,197.852542
103.172295,299,199.079609
65.348404,299,199.965727
69.87526,271,200.111539
65.96756,227,200.243701
85.330025,240,200.36571
65.79919,299,200.536328
90.39518,299,200.687331
93.99738,299,200.843367
57.86045,236,201.867765
62.420967,248,202.013109
81.19405,299,202.170035
93.10851,299,202.323062
106.54573,299,202.49554
111.766396,299,202.648862
52.106293,232,202.769683
69.5409,250,202.902627
104.07242,299,203.917374
85.16624,299,204.07887
82.58436,291,204.22199
63.4511,244,204.348439
53.482086,229,204.457754
93.23509,299,204.61578
82.63879,299,204.774023
62.15233,281,205.829283
110.24549,299,206.000181
70.90833,272,206.161988
80.86733,299,206.331955
85.41007,299,206.480148
79.16957,299,206.651138
57.345806,207,206.772227
86.61048,299,207.785948
69.43644,267,207.923774
75.42422,299,208.079401
82.98331,252,208.210084
93.352936,299,208.367655
51.7012,188,208.476862
76.04429,299,209.953266
75.22286,299,210.14661
92.52326,299,211.229955
99.28952,299,211.382378
60.2685,231,211.505978
23.53806,79,211.550642
72.72749,268,211.720874
52.274754,254,211.903465
56.63913,223,212.032156
77.23603,299,212.193859
94.99989,299,213.461798
51.129993,233,213.590975
77.8198,299,213.769455
74.24245,299,213.932328
64.36878,299,214.119459
65.307205,276,214.269738
82.29956,299,214.426608
75.55713,299,215.591958
59.78539,299,215.755374
95.22587,299,215.919091
91.75609,299,216.069072
34.851868,136,216.143248
102.75048,299,216.329531
75.77214,299,216.499631
98.75148,299,216.657308
72.8591,299,217.726013
71.40783,299,217.890535
80.30162,268,218.039761
82.06059,299,218.203799
55.520203,179,218.300308
99.804474,299,218.453634
52.795284,202,218.553779
83.77411,299,219.530319
62.99287,299,219.691304
79.960365,299,219.854212
37.612144,162,219.936222
91.52359,299,220.100005
96.06203,299,221.654458
86.492935,299,221.815041
80.47788,299,221.981544
77.056526,299,222.918978
94.53999,299,223.069839
90.227,299,223.217759
55.449306,211,223.325735
76.06094,299,223.480439
47.827015,167,223.566477
75.24216,299,223.72295
62.273148,219,224.724164
109.13196,299,224.879365
91.67613,299,225.036907
55.57408,210,225.138732
76.19454,299,225.300579
88.7206,276,225.432286
76.946945,299,225.579299
56.885895,186,225.679977
61.082108,248,226.899671
77.22982,299,227.052173
81.839,299,227.205123
58.52881,202,227.302384
57.41371,202,227.406845
85.60922,299,227.555388
66.40675,299,227.709488
72.4384,299,227.859266
96.76242,299,228.919453
53.74187,225,229.027685
102.32278,299,229.180045
88.42804,299,229.321943
94.97902,294,229.485278
130.35623,299,229.650688
90.976845,299,229.801348
86.34669,292,230.784677
76.57709,299,230.937949
83.553635,299,231.110227
98.55612,299,231.256516
81.57486,286,232.619662
90.59859,299,232.774972
90.89361,299,232.933576
72.17357,299,233.88263
101.11682,299,234.034944
62.182903,272,234.169493
65.50834,225,234.290812
98.97583,299,234.461137
69.56791,299,234.614954
76.39833,299,234.759819
45.766438,183,235.780704
81.389404,299,235.957242
68.76403,279,236.099831
59.247562,233,236.219352
91.51826,299,236.404856
108.666176,299,236.602511
78.2186,279,236.755323
81.33201,272,236.908722
128.54378,299,237.924
66.00467,299,238.084773
44.23861,176,238.177443
112.72567,299,238.3309
110.31649,299,238.499556
81.8151,299,238.668274
91.56512,299,238.819205
69.20329,219,239.767277
41.76314,170,239.865798
82.1911,299,240.039622
96.230354,299,240.209736
100.138,299,240.366712
39.216553,133,240.434263
64.63949,299,240.601325
50.268673,205,240.704116
80.2591,266,241.755089
46.54603,197,241.870293
80.291214,298,242.033808
115.17691,299,242.201424
71.57097,251,243.842183
80.49828,283,244.001522
98.91839,299,244.175905
76.91206,299,244.336645
79.47095,299,245.341399
81.89096,299,245.503333
71.31354,297,245.673861
85.201584,299,245.827909
102.6878,299,245.981185
101.43676,299,246.139359
71.35685,299,246.293163
84.765205,299,247.519732
75.72185,299,247.682595
40.978428,178,247.780448
86.50961,299,247.952779
104.150635,299,248.113157
56.27015,240,248.246677
50.471764,232,248.380464
83.089645,299,249.450892
81.22656,299,249.618024
65.75795,267,249.767316
60.403584,299,249.93337
82.43853,299,250.09849
79.00701,299,250.267207
40.423367,157,250.352681
109.73421,299,250.526522
45.124176,191,251.617884
81.86465,299,251.762302
78.44201,299,251.916564
93.54084,299,252.078244
104.197945,299,252.248856
107.85217,299,252.422351
47.58301,230,252.537475
90.747826,299,253.519399
91.18633,299,253.673216
102.369606,299,255.305188
59.162872,208,255.419017
89.52154,299,255.567878
78.389175,299,255.737765
88.334694,287,255.904902
66.44082,278,256.052289
84.74548,299,257.07034
102.06416,299,257.235324
73.173035,299,257.401541
69.004196,299,257.555181
68.690414,189,257.654938
95.80269,299,257.817547
86.30598,299,257.968638
47.47596,223,258.995996
73.03436,272,259.15109
80.599014,299,259.302047
97.45944,299,259.4729
84.017555,260,259.60779
63.781525,254,259.745479
69.369995,276,259.888387
57.30537,230,260.000967
73.92035,299,261.190623
54.072197,208,261.308964
31.69841,152,261.399124
73.12602,299,261.564159
93.40938,299,261.717322
62.362625,280,261.891915
75.34535,270,262.040664
78.208725,284,263.216582
77.08243,292,263.387535
103.69018,299,263.575402
80.6513,299,263.751666
90.03018,299,263.933411
94.112465,299,264.097047
41.30922,164,264.186457
89.43003,299,264.349649
46.66141,222,265.451147
96.25522,299,267.183046
61.90248,288,267.416659
80.35575,299,267.604417
99.79043,299,267.795963
79.25649,299,267.969959
73.05995,295,268.2182
70.928185,299,269.405971
72.76181,299,269.592108
43.770298,194,269.700309
61.987286,240,269.843668
75.0386,279,270.009921
65.14563,299,270.179078
76.88046,299,270.34622
51.691948,221,270.46973
79.52155,299,271.496926
56.677708,178,271.598332
102.422966,299,271.763238
95.7807,299,271.921988
83.322945,299,272.092411
69.557686,261,272.226052
84.68313,285,272.389276
47.5174,239,273.411519
85.48181,299,273.56722
67.68279,255,273.702308
38.10784,159,273.788844
89.02829,275,273.940931
63.77232,239,274.067743
77.31446,299,274.23248
68.37665,270,274.374844
73.61378,299,275.503078
30.56903,130,275.567936
76.77659,299,275.727028
82.59165,299,275.907251
76.320915,299,276.060708
96.516014,299,276.213704
90.18757,299,276.367228
94.23775,299,277.466216
41.90095,161,278.49176
112.40243,299,278.643075
57.58189,237,278.7869
82.95127,259,278.963238
71.95194,296,279.144079
88.92931,299,279.316508
73.57617,299,279.468931
78.91817,299,280.451943
80.5022,299,280.612605
82.21557,299,280.778889
67.451866,299,280.925032
77.18231,270,281.08487
66.7585,222,281.202331
56.507942,217,281.312217
57.82902,214,281.425217
30.96602,115,282.384577
105.3042,299,282.554533
112.67422,299,282.70481
93.583145,299,282.85749
50.369534,190,282.954804
78.73274,299,283.104921
91.15508,299,283.254377
55.1798,282,283.405617
112.024574,299,284.467295
77.75429,299,284.681331
63.050232,248,284.80758
78.27527,299,284.976101
84.0894,299,285.124279
89.72854,299,285.334633
87.39609,299,285.48885
99.63065,299,286.595746
68.47185,299,286.755795
99.450226,299,286.928238
68.528564,237,287.084243
59.753983,273,287.252723
76.50655,287,287.418795
65.14084,275,287.588622
89.114555,299,289.483539
90.47703,299,289.641461
95.75484,299,289.809576
81.68793,299,289.968356
67.20521,244,290.113461
54.644028,249,290.24053
74.7995,299,290.392473
