#{"t_start": 1754808863.7766008, "env_id": "None"}
r,l,t
274.69757,299,512.306716
278.84186,299,512.598264
278.87335,299,512.888295
276.83807,299,513.17696
283.65692,299,514.644989
275.6386,299,514.925849
205.95204,299,515.214315
280.64932,299,515.545075
279.12222,299,515.854712
279.826,299,516.136814
279.83362,299,516.40884
270.09348,299,517.913332
273.7031,299,518.213147
276.71625,299,518.509439
282.12488,299,518.800885
278.36237,299,519.083917
280.00235,299,519.383487
276.35895,299,520.872753
279.897,299,521.156129
283.12595,299,521.512252
268.42706,299,521.874828
282.86835,299,522.213509
282.46432,299,522.511449
277.85886,299,522.83118
276.73175,299,524.460978
277.2631,299,524.752699
279.13974,299,525.06836
273.04883,299,525.381044
268.56384,299,525.65726
277.409,299,525.977963
279.0399,299,526.30449
278.55338,299,527.850274
277.42706,299,528.152748
285.5762,299,528.477881
281.07135,299,528.779994
161.31546,299,529.085157
281.68698,299,529.366933
278.31784,299,529.64375
274.9586,299,531.193064
280.33176,299,531.49299
273.94955,299,531.867263
271.45764,299,532.203284
277.43375,299,532.507409
282.33292,299,532.808051
272.17117,299,533.125178
281.1834,299,534.624177
186.4209,299,534.913375
278.825,299,535.231008
275.85034,299,535.51773
280.11942,299,535.816445
269.166,299,536.123292
187.49385,299,536.433139
282.0036,299,537.998933
281.02286,299,538.310243
281.1952,299,538.633287
280.20566,299,538.954133
272.02438,299,540.569749
262.77158,299,540.927985
279.20364,299,542.411005
272.4348,299,542.741747
180.67975,299,543.039897
280.33054,299,543.351737
276.18625,299,543.640223
280.66095,299,543.93367
277.6292,299,544.237302
278.97205,299,545.681439
278.48047,299,545.962237
259.19785,299,546.24217
268.58963,299,546.513309
279.99356,299,546.81274
274.28644,299,547.108676
280.50674,299,547.426555
277.2222,299,548.94
273.31915,299,549.244421
269.61844,299,549.570087
268.34088,299,549.879792
274.27292,299,550.172065
181.87057,299,550.510766
282.5968,299,550.82495
278.2863,299,552.369404
280.1646,299,552.666089
267.6773,299,552.997368
279.94476,299,553.300094
283.50775,299,553.620364
265.62143,299,553.980888
280.10727,299,554.273168
272.50522,299,555.888613
279.43408,299,556.181334
265.02878,299,556.490402
279.23135,299,556.785815
283.9505,299,557.071959
279.01288,299,557.35385
277.6008,299,557.676568
271.98828,299,559.243523
274.63364,299,559.545067
277.48193,299,559.871708
279.80746,299,560.175468
278.1355,299,560.451637
282.25262,299,560.734479
282.24774,299,561.04337
266.3751,299,562.631252
277.18756,299,562.961514
267.163,299,563.288204
266.28076,299,563.578382
269.70328,299,563.863544
278.57462,299,564.182553
281.97137,299,565.588493
215.54099,299,565.86722
210.53691,299,566.182321
269.91412,299,566.486373
276.43042,299,566.785504
275.4443,299,567.110743
278.79724,299,567.439834
278.40768,299,569.001413
270.34924,299,569.298588
277.2783,299,569.585373
279.93762,299,569.887195
276.55554,299,570.184024
262.6977,299,570.479756
276.58344,299,570.797565
283.0533,299,572.302854
270.08102,299,572.63087
269.6565,299,572.90369
275.81253,299,574.684845
270.5508,299,574.978095
283.13336,299,575.258997
275.2836,299,575.554246
283.3835,299,577.239383
278.83267,299,577.628099
278.93454,299,577.959073
286.3344,299,578.269983
267.40347,299,578.586073
275.29477,299,578.9059
274.24738,299,579.21068
273.30994,299,580.776585
270.90802,299,581.085417
273.35596,299,581.410723
268.33267,299,581.702115
280.96158,299,581.983557
275.4831,299,582.278104
277.18088,299,582.599324
278.56256,299,584.088973
279.8638,299,584.408139
279.5438,299,584.670902
275.09625,299,584.969202
207.6202,299,585.265434
269.2893,299,585.575521
281.45703,299,585.885846
280.51013,299,587.319574
281.4413,299,587.594805
275.5017,299,587.882269
279.7771,299,588.16732
276.65793,299,588.488667
278.51285,299,588.774817
269.09415,299,590.191111
282.921,299,590.488254
280.48563,299,590.764668
264.7481,299,591.08936
282.3017,299,591.362265
285.30963,299,591.665601
270.86765,299,591.969654
275.11166,299,593.425405
283.88858,299,593.712167
272.22968,299,594.010516
265.69427,299,594.306801
276.35556,299,594.62873
278.8634,299,594.942863
280.2525,299,595.264433
282.17838,299,596.762705
277.57806,299,597.097235
279.4819,299,597.408052
284.26175,299,597.70041
281.57724,299,597.987904
283.8973,299,598.30892
278.7928,299,598.61975
281.6918,299,600.144856
275.45496,299,600.463109
277.99454,299,600.780234
272.25372,299,601.078502
285.9341,299,601.402252
282.52295,299,601.696767
272.86084,299,601.980066
275.01828,299,603.369859
280.6747,299,603.645916
279.97266,299,603.937934
278.66678,299,604.233367
281.16043,299,604.57742
285.34805,299,604.884383
278.561,299,605.166284
279.68625,299,606.62024
274.53268,299,608.413931
277.87506,299,608.734834
279.5131,299,609.061334
270.08527,299,609.340811
280.509,299,609.620847
279.51303,299,611.045116
271.13516,299,611.365539
285.07626,299,611.699049
285.30322,299,611.988112
275.24753,299,612.303446
270.23978,299,612.584749
278.01157,299,612.90377
278.7871,299,614.32046
273.03174,299,614.602959
271.31818,299,614.898737
271.8817,299,615.191173
284.67587,299,615.473551
278.07922,299,615.755996
269.10638,299,616.079033
280.6694,299,617.569921
285.92087,299,617.891265
284.57916,299,618.199782
276.67786,299,618.503113
279.0852,299,618.806812
270.99866,299,619.097023
215.34363,299,619.413241
282.7229,299,620.873387
201.33897,299,621.158574
279.00183,299,621.471617
272.675,299,621.766584
284.29874,299,622.074326
277.5832,299,622.381043
267.85712,299,622.694056
286.97644,299,624.164295
279.5253,299,624.451847
273.3754,299,624.770188
286.9088,299,625.083109
277.0819,299,625.348005
275.32544,299,625.705471
281.63818,299,626.03091
277.82352,299,627.578018
214.07713,299,627.855069
275.3689,299,628.159243
285.05643,299,628.480237
279.1057,299,628.803835
282.56592,299,629.104246
275.3059,299,629.396389
280.21118,299,630.988377
281.0339,299,631.316661
287.76447,299,631.621291
284.3352,299,631.91583
285.52045,299,632.225304
273.04932,299,632.554131
278.3903,299,634.161599
280.76572,299,634.463004
288.33475,299,634.847301
265.92084,299,635.148822
284.8608,299,635.467992
282.91922,299,635.784178
284.53616,299,636.111721
280.19525,299,637.634252
284.10193,299,637.945478
280.88153,299,638.234234
287.30667,299,638.582424
277.7788,299,638.915486
278.95633,299,639.233356
280.50903,299,639.535574
274.4431,299,642.403766
281.02872,299,642.694492
275.51868,299,643.014596
265.60336,299,643.31494
275.43204,299,643.62376
280.7756,299,643.963735
276.91913,299,644.304603
285.09253,299,645.784065
286.35822,299,646.081686
282.1175,299,646.353653
278.93442,299,646.672245
275.89886,299,646.953036
282.81076,299,647.275896
282.95224,299,647.593256
288.24457,299,649.006581
284.8498,299,649.337753
271.71024,299,649.641829
281.70718,299,649.923946
280.69266,299,650.235345
287.1347,299,650.51558
285.13657,299,650.811009
283.6011,299,652.352731
285.39383,299,652.631407
281.0359,299,652.978474
271.90707,299,653.302029
279.11673,299,653.589709
272.8186,299,653.892646
286.15433,299,655.472315
275.72266,299,655.799434
274.61877,299,656.12503
285.8029,299,656.457814
285.24625,299,656.775336
286.08273,299,657.077348
281.75845,299,657.509827
275.14783,299,659.101039
277.09598,299,659.393471
275.60553,299,659.692769
281.37128,299,659.972498
283.58826,299,660.296129
284.29633,299,660.608113
282.76505,299,660.924358
276.20078,299,662.512161
275.39575,299,662.833434
288.11804,299,663.152262
281.87747,299,663.502629
282.00415,299,663.796526
283.8079,299,664.106089
271.66473,299,664.432639
267.28357,299,665.929406
281.14706,299,666.226952
281.29633,299,666.540848
269.14377,299,666.85846
269.20004,299,667.134973
