rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,train/std,train/value_loss,train/clip_fraction,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/approx_kl,train/entropy_loss,train/loss,eval/mean_reward,eval/mean_ep_length
194.44058227539062,68,299.0,21,626,43008,0.9030941128730774,0.002852389803592814,0.204150390625,0.2,0.9986995458602905,-0.013092944787058514,0.00025903999999999993,280,0.01498128,-3.945397938042879,-0.023556480184197426,,
,,,,,43076,0.9064982533454895,0.003806933926898637,0.18828125,0.2,0.9935541749000549,-0.012429008012259147,0.000256992,290,0.019533055,-3.9552659764885902,-0.05701395496726036,249.74856567382812,299.0
198.55380249023438,73,299.0,22,615,45056,,,,,,,,,,,,,
203.43975830078125,76,299.0,23,613,47104,0.9006667733192444,0.0034319712161959615,0.190185546875,0.2,0.9983702301979065,-0.012333353931899183,0.00025494399999999995,300,0.01706087,-3.9544576913118363,0.00397817138582468,,
207.8867950439453,79,299.0,24,614,49152,0.8930476307868958,0.0025685932396299904,0.2181640625,0.2,0.9988728165626526,-0.013206639232521411,0.00025289599999999996,310,0.017048638,-3.929317905008793,-0.01497609168291092,,
211.6247100830078,83,299.0,25,615,51200,0.885774552822113,0.002521879356208956,0.22783203125,0.2,0.998982846736908,-0.01757721493486315,0.00025084799999999997,320,0.01462038,-3.904109475016594,-0.04302894324064255,,
215.3771514892578,86,299.0,26,615,53248,0.8716559410095215,0.0015687899771364756,0.176953125,0.2,0.9991507530212402,-0.013129476140602492,0.0002488,330,0.015204852,-3.8663369573652746,-0.019768405705690384,,
218.1606903076172,89,299.0,27,614,55296,0.8697643280029297,0.001961158623089432,0.2095703125,0.2,0.9992579221725464,-0.013587308763089823,0.000246752,340,0.017320063,-3.8406444005668163,-0.027385296300053596,,
221.22576904296875,93,299.0,28,614,57344,0.8683240413665771,0.00147359459715517,0.222119140625,0.2,0.9993206262588501,-0.01747491956630256,0.000244704,350,0.016787952,-3.8354672223329542,-0.07466805726289749,,
223.47573852539062,96,299.0,29,615,59392,0.8639634251594543,0.0011863417952554301,0.196826171875,0.2,0.9993249773979187,-0.015553640526195522,0.00024265599999999998,360,0.016325688,-3.824437267333269,-0.030696537345647812,,
225.9476318359375,99,299.0,30,615,61440,0.8652425408363342,0.0020422610303285184,0.19990234375,0.2,0.9988210797309875,-0.012418196653015912,0.00024060799999999998,370,0.017599607,-3.821061646938324,-0.047687988728284836,,
,,,,,63076,0.8668505549430847,0.0010469669194208108,0.22353515625,0.2,0.9993690848350525,-0.014521074324875372,0.00023856,380,0.016637955,-3.82197011038661,-0.05655071139335632,269.001220703125,299.0
228.93106079101562,104,299.0,31,606,63488,,,,,,,,,,,,,
231.94003295898438,108,299.0,32,605,65536,0.8613584637641907,0.0011485204766358947,0.18671875,0.2,0.9994568228721619,-0.015007881484052632,0.000236512,390,0.016900063,-3.8150979831814764,-0.04653824865818024,,
234.69122314453125,111,299.0,33,606,67584,0.8493423461914062,0.0009306351990744588,0.216845703125,0.2,0.999516487121582,-0.01596553620984196,0.00023446399999999996,400,0.018264467,-3.7801199428737164,-0.04703262448310852,,
236.60330200195312,114,299.0,34,606,69632,0.8430941104888916,0.0008856640869453258,0.1962890625,0.2,0.9996269345283508,-0.014972842400311492,0.00023241599999999996,410,0.017936843,-3.752223452180624,-0.0740232989192009,,
237.38214111328125,118,299.0,35,606,71680,0.8509747385978699,0.0029955405345390316,0.183837890625,0.2,0.9955281615257263,-0.01658065138326492,0.00023036799999999997,420,0.018102739,-3.7575010038912295,-0.01591547764837742,,
240.1558380126953,121,299.0,36,607,73728,0.8493967652320862,0.0019390051982554723,0.19853515625,0.2,0.9984557628631592,-0.01628728941141162,0.00022831999999999998,430,0.018814018,-3.767227463424206,-0.06599286198616028,,
242.4906768798828,124,299.0,37,608,75776,0.8484147191047668,0.0009303084976636456,0.18525390625,0.2,0.9995126724243164,-0.015179017318587285,0.000226272,440,0.013939441,-3.7615401215851305,-0.06104259938001633,,
244.44508361816406,127,299.0,38,609,77824,0.8378493189811707,0.0009975421309718513,0.220263671875,0.2,0.999381422996521,-0.017815222701756284,0.00022422399999999995,450,0.020110348,-3.7408289574086666,-0.0738498643040657,,
246.1339874267578,130,299.0,39,610,79872,0.8338750004768372,0.0006454702348491992,0.1951171875,0.2,0.9997098445892334,-0.010441928330692463,0.000222176,460,0.015208699,-3.7135521352291105,-0.03333348408341408,,
247.80320739746094,134,299.0,40,609,81920,0.83235764503479,0.000540212278792751,0.18544921875,0.2,0.9997574687004089,-0.012221084134944249,0.00022012799999999996,470,0.017713403,-3.7045714601874353,-0.028537239879369736,,
,,,,,83076,0.8294758796691895,0.0005178181441351625,0.211181640625,0.2,0.9996653199195862,-0.017202133654791396,0.00021807999999999997,480,0.016509607,-3.6961094729602335,-0.0445733405649662,250.56979370117188,299.0
249.1702880859375,138,299.0,41,604,83968,,,,,,,,,,,,,
250.57040405273438,141,299.0,42,606,86016,0.8236541152000427,0.0006439408082314912,0.197607421875,0.2,0.999660313129425,-0.017341522849164903,0.00021603199999999998,490,0.021713497,-3.6815785713493825,-0.024145323783159256,,
251.93240356445312,145,299.0,43,607,88064,0.8147892951965332,0.0004991768327727187,0.220849609375,0.2,0.9996961951255798,-0.018645460851257668,0.000213984,500,0.02034867,-3.6516974292695523,-0.06565507501363754,,
252.61407470703125,148,299.0,44,607,90112,0.8078696727752686,0.0004474509535157267,0.231005859375,0.2,0.9997884631156921,-0.021332952745433433,0.000211936,510,0.02944126,-3.626239211112261,-0.049793388694524765,,
253.16050720214844,151,299.0,45,607,92160,0.8012978434562683,0.0017018570772052044,0.227587890625,0.2,0.9986216425895691,-0.017339731398533332,0.00020988799999999998,520,0.020736841,-3.6001071333885193,-0.004725937265902758,,
254.46014404296875,154,299.0,46,608,94208,0.8055029511451721,0.00117993730782473,0.20634765625,0.2,0.9991773366928101,-0.014625749060360248,0.00020784000000000002,530,0.015998483,-3.5960956513881683,-0.04635097086429596,,
254.1280517578125,158,299.0,47,609,96256,0.8026354312896729,0.0013345190222935344,0.201416015625,0.2,0.9993927478790283,-0.018029890026082285,0.00020579199999999997,540,0.022032632,-3.5996098175644873,-0.04720541089773178,,
255.16195678710938,161,299.0,48,609,98304,0.8038915991783142,0.0006404614149232657,0.2052734375,0.2,0.999001145362854,-0.012004685582360253,0.00020374399999999998,550,0.018164404,-3.5937637031078338,-0.00932639092206955,,
257.21466064453125,164,299.0,49,610,100352,0.7947795987129211,0.00032769633517091277,0.2025390625,0.2,0.9998446106910706,-0.016616538727248553,0.000201696,560,0.019462503,-3.579421841353178,-0.014970456250011921,,
258.837646484375,167,299.0,50,611,102400,0.7891328930854797,0.00026526010069574115,0.2234375,0.2,0.9998324513435364,-0.01748042536637513,0.00019964799999999997,570,0.016210187,-3.551733377575874,-0.04193291813135147,,
,,,,,103076,0.7851116061210632,0.0005284236537590914,0.216845703125,0.2,0.9997056126594543,-0.022176419199968222,0.0001976,580,0.02320973,-3.5348219461739063,-0.020083235576748848,264.2456359863281,299.0
259.20697021484375,172,299.0,51,606,104448,,,,,,,,,,,,,
259.8899230957031,175,299.0,52,606,106496,0.7873862385749817,0.0006477779828856,0.200244140625,0.2,0.9992400407791138,-0.01520561718971294,0.000195552,590,0.019967988,-3.530087634921074,-0.043603070080280304,,
260.4916076660156,178,299.0,53,607,108544,0.7793500423431396,0.00027883717957593034,0.2162109375,0.2,0.9998422861099243,-0.015028901142068207,0.00019350399999999997,600,0.021062195,-3.513963360339403,-0.021103164181113243,,
261.2127685546875,182,299.0,54,607,110592,0.7752649188041687,0.0004999522114758293,0.22470703125,0.2,0.9995636343955994,-0.020077272749040274,0.00019145599999999998,610,0.016514096,-3.4918524213135242,-0.04417610168457031,,
261.857666015625,185,299.0,55,607,112640,0.7740885615348816,0.00026972511550411583,0.183642578125,0.2,0.9997649788856506,-0.015937121635943186,0.00018940799999999996,620,0.021324985,-3.4805675871670245,-0.01014358177781105,,
262.4753112792969,188,299.0,56,607,114688,0.7622000575065613,0.00025641998440733004,0.1841796875,0.2,0.9997628927230835,-0.01808015849965159,0.00018736,630,0.014805904,-3.450954468548298,-0.03839367255568504,,
263.059326171875,192,299.0,57,607,116736,0.7574227452278137,0.00020323237520187832,0.188330078125,0.2,0.9998403787612915,-0.014138848542643245,0.00018531199999999998,640,0.01887963,-3.416457311809063,-0.05204198881983757,,
263.25128173828125,195,299.0,58,607,118784,0.7566971778869629,0.0005090977753752668,0.22275390625,0.2,0.9997708797454834,-0.01851186109270202,0.00018326399999999999,650,0.024178166,-3.4069709412753584,-0.027466831728816032,,
264.6854553222656,198,299.0,59,608,120832,0.7566392421722412,0.0005941916042047524,0.209130859375,0.2,0.9995426535606384,-0.01826561209090869,0.000181216,660,0.01673796,-3.4071139998734,-0.06412555277347565,,
265.92669677734375,201,299.0,60,608,122880,0.7452397346496582,0.0002679218055163801,0.22099609375,0.2,0.9997963905334473,-0.023339065340405796,0.00017916799999999998,670,0.019594297,-3.3815954200923444,-0.06324872374534607,,
,,,,,123076,0.7384960651397705,0.00018652182793630346,0.220166015625,0.2,0.9998937845230103,-0.01867588395689381,0.00017711999999999998,680,0.016835913,-3.3421676024794578,-0.0473385825753212,263.28619384765625,299.0
265.8622741699219,206,299.0,61,605,124928,,,,,,,,,,,,,
266.4761047363281,209,299.0,62,605,126976,0.7399100661277771,0.0010682780411116256,0.1912109375,0.2,0.9985268712043762,-0.014895398335647769,0.00017507199999999997,690,0.016322661,-3.3317952282726764,-0.04925632104277611,,
266.8325500488281,212,299.0,63,605,129024,0.7367598414421082,0.00023076998227224976,0.214208984375,0.2,0.999861478805542,-0.016277814550267066,0.000173024,700,0.021533813,-3.324387861788273,-0.06218776851892471,,
267.2535400390625,216,299.0,64,606,131072,0.7240621447563171,0.00022857873575503617,0.232470703125,0.2,0.9998130202293396,-0.020346834472729825,0.00017097599999999998,710,0.021728095,-3.2910924375057222,-0.05126059800386429,,
267.4754943847656,219,299.0,65,606,133120,0.7163841128349304,0.00016472789279760037,0.2375,0.2,0.9998854398727417,-0.019585144365555605,0.000168928,720,0.022223115,-3.249482174217701,-0.06041845679283142,,
267.9975891113281,222,299.0,66,607,135168,0.7110322117805481,0.0004320964507769531,0.2169921875,0.2,0.999630331993103,-0.016716321182320824,0.00016688,730,0.01844088,-3.221966300904751,-0.06055603548884392,,
268.5736389160156,226,299.0,67,606,137216,0.7090380191802979,0.0007134972093354008,0.195361328125,0.2,0.999311089515686,-0.018444189451111016,0.00016483199999999996,740,0.017437186,-3.2066387705504895,-0.05857262387871742,,
269.25872802734375,229,299.0,68,606,139264,0.7087728977203369,0.00014189707595733126,0.201953125,0.2,0.9998884201049805,-0.013947370191453956,0.000162784,750,0.018254444,-3.199233716726303,-0.020565466955304146,,
269.6283264160156,232,299.0,69,607,141312,0.7047681212425232,0.00014013058662385447,0.1765625,0.2,0.9999328255653381,-0.012278831365983933,0.00016073599999999997,760,0.01564195,-3.189055464416742,-0.03135225549340248,,
,,,,,143076,0.6960508227348328,0.00019974234171513672,0.249169921875,0.2,0.9998317360877991,-0.01789330456085736,0.00015868799999999998,770,0.023934897,-3.1630101539194584,-0.058278732001781464,273.8116149902344,299.0
270.13702392578125,237,299.0,70,603,143360,,,,,,,,,,,,,
269.007568359375,240,299.0,71,604,145408,0.692362368106842,0.0001925971953141925,0.221923828125,0.2,0.9998196363449097,-0.021455824679287618,0.00015664,780,0.023947729,-3.136082109808922,-0.04052628204226494,,
270.044921875,243,299.0,72,605,147456,0.6911171078681946,0.0002879403492443089,0.222314453125,0.2,0.9996823072433472,-0.017605568248109195,0.000154592,790,0.022238486,-3.1263765677809716,-0.03201017156243324,,
